s,a,r,sp
994,12,2.10285,392
994,13,2.160131,392
994,14,2.227297,432
994,15,2.305952,492
994,16,2.398134,552
994,17,2.444762,612
994,18,2.509388,672
994,19,2.512362,712
994,20,2.452553,752
1274,1,1.139279,1092
1274,2,1.246831,1092
1274,3,1.288116,1052
1274,4,1.328974,1012
1274,5,1.312209,932
1274,6,1.226831,852
1274,7,1.166044,712
1274,8,1.121616,612
1274,9,1.096439,512
1274,10,1.088614,432
1274,11,1.095,392
1274,12,1.110483,392
1274,13,1.136044,392
1274,14,1.169892,432
1274,15,1.181831,492
1274,16,1.17,552
1274,17,1.171831,612
1274,18,1.163406,672
1274,19,1.161831,712
1274,20,1.160274,752
1294,1,1.125742,1092
1294,2,1.213709,1092
1294,3,1.304588,1052
1294,4,1.408571,1012
1294,5,1.466841,932
1294,6,1.523398,852
1294,7,1.553089,712
1294,8,1.56401,612
1294,9,1.543089,512
1294,10,1.534158,432
1294,11,1.545,392
1294,12,1.568499,392
1294,13,1.597338,392
1294,14,1.632128,432
1294,15,1.650067,492
1294,16,1.70273,552
1294,17,1.733182,612
1294,18,1.814762,672
1294,19,1.862187,712
1294,20,1.964516,752
612,1,1.161065,711
612,2,1.324711,651
612,3,1.39548,611
612,4,1.431685,551
612,5,1.480828,531
612,6,1.508095,511
612,7,1.529165,511
612,8,1.543333,551
612,9,1.578116,611
612,10,1.581313,691
612,11,1.605668,691
612,12,1.600668,691
612,13,1.604251,691
612,14,1.621099,691
612,15,1.647667,711
612,16,1.665946,711
612,17,1.680027,711
612,18,1.670218,731
612,19,1.684614,731
612,20,1.704469,751
1052,1,1.097453,711
1052,2,1.204626,651
1052,3,1.334823,611
1052,4,1.435238,551
1052,5,1.543789,531
1052,6,1.627267,511
1052,7,1.717294,511
1052,8,1.774727,551
1052,9,1.809369,611
1052,10,1.83642,691
1052,11,1.855,691
1052,12,1.874177,691
1052,13,1.90916,691
1052,14,1.93,691
1052,15,1.962333,711
1052,16,2.001744,711
1052,17,2.061067,711
1052,18,2.124493,731
1052,19,2.152059,731
1052,20,2.215152,751
651,1,1.084831,1209
651,2,1.163358,1209
651,3,1.226313,1189
651,4,1.300329,1189
651,5,1.360776,1189
651,6,1.438037,1209
651,7,1.470855,1209
651,8,1.516901,1209
651,9,1.546584,1209
