s,a,r,sp
167,19,-4.897432,175
167,20,-4.890537,174
160,1,1.10586,187
160,2,2.011632,187
160,3,2.801687,188
160,4,3.122286,188
160,5,3.286547,189
160,6,3.301193,189
160,7,3.087388,189
160,8,2.744539,189
160,9,2.357072,189
160,10,1.976101,188
160,11,1.715537,187
160,12,1.421777,186
160,13,1.183378,185
160,14,1.001362,183
160,15,0.87353,181
160,16,0.796453,179
160,17,0.749854,178
160,18,0.696649,176
160,19,0.729422,175
160,20,0.832654,174
169,1,-0.032586,187
169,2,-0.167567,187
169,3,-0.39911,188
169,4,-0.864424,188
169,5,-1.465415,189
169,6,-2.092404,189
169,7,-2.70461,189
169,8,-3.304303,189
169,9,-3.881023,189
169,10,-4.446434,188
169,11,-4.974567,187
169,12,-5.460966,186
169,13,-5.887971,185
169,14,-6.247377,183
169,15,-6.537712,181
169,16,-6.75467,179
169,17,-6.893177,178
169,18,-6.946241,176
169,19,-6.984162,175
169,20,-6.936935,174
175,1,0.324516,214
175,2,-0.658991,214
175,3,-1.441447,213
175,4,-2.137533,213
175,5,-2.796035,212
175,6,-3.429286,211
175,7,-4.047653,210
175,8,-4.65942,210
175,9,-5.250766,209
175,10,-5.804097,208
175,11,-6.349751,207
175,12,-6.865922,207
175,13,-7.342404,206
175,14,-7.76958,205
175,15,-8.143963,204
175,16,-8.459142,204
175,17,-8.705144,204
175,18,-8.893556,204
175,19,-9.006241,205
175,20,-9.037473,206
189,1,2.373181,214
189,2,4.170685,214
189,3,5.605399,213
189,4,6.731024,213
189,5,7.628208,212
189,6,7.60923,211
189,7,7.342864,210
189,8,6.739631,210
189,9,6.129245,209
189,10,5.571528,208
189,11,5.040763,207
189,12,4.524592,207
189,13,4.048111,206
189,14,3.620933,205
189,15,3.246699,204
189,16,2.93137,204
189,17,2.685382,204
189,18,2.497506,204
189,19,2.384283,205
189,20,2.331103,206
183,1,1.506047,214
183,2,2.667769,214
183,3,3.578884,213
183,4,4.302002,213
183,5,4.210997,212
183,6,3.577749,211
183,7,2.959382,210
183,8,2.356149,210
183,9,1.742164,209
183,10,1.196855,208
183,11,0.657283,207
