s,a,r,sp
20400,1,1.056594,16757
20400,2,1.116923,19082
20400,3,1.171235,947
20400,4,1.226809,3582
20400,5,1.283036,14742
20400,6,1.326481,9782
20400,7,1.360238,26832
20400,8,1.410495,28227
20400,9,1.457564,9627
20400,10,1.492105,16757
20400,11,1.528784,23732
20400,12,1.586067,3117
20400,13,1.64845,14122
20400,14,1.684491,24817
20400,15,1.679491,6682
20400,16,1.674491,12572
20400,17,1.669491,1412
20400,18,1.664491,14897
20400,19,1.659491,19392
20400,20,1.654491,15982
16990,1,1.052762,16757
16990,2,1.108321,19082
16990,3,1.161707,947
16990,4,1.221525,3582
16990,5,1.277222,14742
16990,6,1.326481,9782
16990,7,1.360238,26832
16990,8,1.417711,28227
16990,9,1.449898,9627
16990,10,1.484031,16757
16990,11,1.528784,23732
16990,12,1.586067,3117
16990,13,1.64845,14122
16990,14,1.705758,24817
16990,15,1.700758,6682
16990,16,1.695758,12572
16990,17,1.690758,1412
16990,18,1.685758,14897
16990,19,1.680758,19392
16990,20,1.675758,15982
21640,1,1.049152,16757
21640,2,1.104504,19082
21640,3,1.167186,947
21640,4,1.212068,3582
21640,5,1.267035,14742
21640,6,1.315622,9782
21640,7,1.362129,26832
21640,8,1.398424,28227
21640,9,1.452436,9627
21640,10,1.486842,16757
21640,11,1.523378,23732
21640,12,1.580449,3117
21640,13,1.642602,14122
21640,14,1.721411,24817
21640,15,1.738665,6682
21640,16,1.733665,12572
21640,17,1.728665,1412
21640,18,1.723665,14897
21640,19,1.718665,19392
21640,20,1.713665,15982
16757,1,1.048942,1936
16757,2,1.09917,31851
16757,3,1.139545,23636
16757,4,1.166916,25031
16757,5,1.196154,22241
16757,6,1.215098,16351
16757,7,1.235,10306
16757,8,1.242828,12631
16757,9,1.250918,27356
16757,10,1.266062,12476
16757,11,1.281842,11391
16757,12,1.291064,1471
16757,13,1.315435,231
16757,14,1.348994,32781
16757,15,1.393208,6741
16757,16,1.440958,1626
16757,17,1.49264,17436
16757,18,1.559351,21001
16757,19,1.632891,24876
16757,20,1.714286,4261
14742,1,1.061667,1936
14742,2,1.120112,31851
14742,3,1.191349,23636
14742,4,1.241411,25031
14742,5,1.296739,22241
14742,6,1.358128,16351
14742,7,1.39223,10306
14742,8,1.428599,12631
14742,9,1.490354,27356
14742,10,1.52513,12476
14742,11,1.545,11391
14742,12,1.557021,1471
14742,13,1.587174,231
14742,14,1.60033,32781
14742,15,1.59533,6741
14742,16,1.59033,1626
14742,17,1.58533,17436
14742,18,1.58033,21001
14742,19,1.57533,24876
14742,20,1.57033,4261
28227,1,1.061225,1936
28227,2,1.123803,31851
28227,3,1.190993,23636
28227,4,1.262869,25031
28227,5,1.339407,22241
28227,6,1.401111,16351
28227,7,1.448871,10306
28227,8,1.515556,12631
28227,9,1.57309,27356
28227,10,1.627083,12476
28227,11,1.630864,11391
28227,12,1.652766,1471
28227,13,1.666183,231
28227,14,1.661183,32781
28227,15,1.656183,6741
28227,16,1.651183,1626
28227,17,1.646183,17436
28227,18,1.641183,21001
28227,19,1.636183,24876
28227,20,1.631183,4261
23636,1,1.039898,15079
23636,2,1.070169,10274
23636,3,1.107807,17404
23636,4,1.138371,16319
23636,5,1.165698,27634
23636,6,1.189048,5469
23636,7,1.201715,29184
23636,8,1.227327,31819
23636,9,1.247929,21279
23636,10,1.269588,23759
23636,11,1.285314,2059
23636,12,1.287368,13219
23636,13,1.289497,33369
23636,14,1.306344,7329
23636,15,1.331593,22674
23636,16,1.358202,14614
23636,17,1.403372,26704
23636,18,1.442934,14614
23636,19,1.495062,22674
23636,20,1.562338,19109
17436,1,1.042619,15079
17436,2,1.077912,10274
17436,3,1.11,17404
17436,4,1.131163,16319
17436,5,1.153571,27634
17436,6,1.134706,5469
17436,7,1.09,29184
17436,8,1.053923,31819
17436,9,1.02527,21279
17436,10,1.003191,23759
17436,11,0.987105,2059
17436,12,0.982105,13219
17436,13,0.982619,33369
17436,14,0.994516,7329
17436,15,1.001087,22674
17436,16,1.007912,14614
17436,17,1.015,26704
17436,18,1.035,14614
17436,19,1.056163,22674
17436,20,1.092771,19109
31851,1,1.036152,15079
31851,2,1.071197,10274
31851,3,1.099537,17404
31851,4,1.13,16319
31851,5,1.157243,27634
31851,6,1.186346,5469
31851,7,1.199146,29184
31851,8,1.218706,31819
